date,daily_cases,daily_deaths,total_cases,total_deaths
3-14-2020, 11, 0, 0, 0
3-15-2020, 17, 0, 0, 0
3-16-2020, 2, 0, 2, 0
3-17-2020, 0, 0, 2, 0
3-18-2020, 3, 0, 5, 0
3-19-2020, 0, 0, 5, 0
3-20-2020, 18, 0, 23, 0
3-21-2020, 0, 0, 23, 0
3-22-2020, 9, 0, 32, 0
3-23-2020, 4, 0, 36, 0
3-24-2020, 9, 1, 45, 1
3-25-2020, 5, 0, 50, 1
3-26-2020, 0, 0, 50, 1
3-27-2020, 7, 1, 57, 2
3-28-2020, 24, 1, 81, 3
3-29-2020, 1, 0, 82, 3
3-30-2020, 4, 0, 86, 3
3-31-2020, 1, 0, 87, 3
4-01-2020, 7, 0, 94, 3
4-02-2020, 4, 0, 98, 3
4-03-2020, 5, 0, 103, 3
4-04-2020, 5, 1, 108, 4
4-05-2020, 8, 2, 116, 6
4-06-2020, 4, 0, 120, 6
4-07-2020, 4, 1, 124, 7
4-08-2020, 11, 0, 135, 7
4-09-2020, 3, 1, 138, 8
4-10-2020, 1, 0, 139, 8
4-11-2020, 5, 1, 144, 9
4-12-2020, 6, 2, 150, 11
4-13-2020, 6, 0, 156, 11
4-14-2020, 3, 0, 159, 11
4-15-2020, 6, 0, 165, 11
4-16-2020, 11, 0, 176, 11
4-17-2020, 1, 0, 178, 11
4-18-2020, 12, 2, 190, 13
4-19-2020, 6, 0, 196, 13
4-20-2020, 0, 0, 196, 13
4-21-2020, 2, 0, 198, 13
4-22-2020, 0, 0, 198, 13
4-23-2020, 28, 2, 226, 15
